ISO code,Country and areas,Note,Indicator,Measure,Estimate,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020 1
AFG,Afghanistan,,Overweight,Numbers Affected ('000s),Point Estimate,218.4,235.2,250.6,264.2,275.3,283.1,290.4,294.5,296.1,296.4,296.1,293.1,288.2,281.6,273.4,264.2,255.2,246.7,238.5,230.5,222.3
AFG,Afghanistan,,Overweight,Numbers Affected ('000s),Lower Uncertainty Bound,163.1,176.5,188.8,199.8,208.9,215.5,221.7,225.2,226.8,227.3,227.3,224.9,220.7,214.9,207.7,199.0,190.2,181.4,172.5,163.4,153.9
AFG,Afghanistan,,Overweight,Numbers Affected ('000s),Upper Uncertainty Bound,290.9,312.1,331.0,347.7,361.2,370.2,378.8,383.4,384.9,384.7,384.1,380.5,374.9,367.3,358.6,349.2,341.0,334.1,328.3,323.5,319.4
ALB,Albania,,Overweight,Numbers Affected ('000s),Point Estimate,52.3,54.1,55.2,55.5,55.0,53.7,51.6,49.0,46.3,43.5,41.0,38.7,36.8,34.9,33.1,31.3,30.5,28.9,27.2,25.5,24.2
ALB,Albania,,Overweight,Numbers Affected ('000s),Lower Uncertainty Bound,42.3,44.0,45.2,45.6,45.4,44.4,42.7,40.5,38.0,35.5,33.2,31.0,29.2,27.4,25.6,23.9,22.9,21.3,19.6,18.0,16.7
ALB,Albania,,Overweight,Numbers Affected ('000s),Upper Uncertainty Bound,64.1,65.8,66.7,66.7,65.9,64.1,61.6,58.7,55.6,52.6,49.9,47.6,45.7,43.9,42.1,40.3,40.0,38.5,36.9,35.4,34.4
DZA,Algeria,,Overweight,Numbers Affected ('000s),Point Estimate,402.3,390.4,385.4,387.1,394.0,405.7,423.6,447.1,473.9,500.4,525.6,558.8,580.1,593.1,603.2,614.4,621.7,633.8,644.0,650.4,648.7
DZA,Algeria,,Overweight,Numbers Affected ('000s),Lower Uncertainty Bound,332.2,322.5,318.5,319.9,325.6,335.1,349.5,368.3,389.3,409.5,428.0,452.3,466.2,472.7,476.2,480.0,480.0,483.1,483.8,480.7,470.7
DZA,Algeria,,Overweight,Numbers Affected ('000s),Upper Uncertainty Bound,484.5,470.0,463.9,465.9,474.2,488.3,510.4,539.6,573.5,607.7,641.3,685.7,716.7,738.4,757.7,779.4,797.4,822.7,847.1,868.5,881.1
AND,Andorra,,Overweight,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AND,Andorra,,Overweight,Numbers Affected ('000s),Lower Uncertainty Bound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AND,Andorra,,Overweight,Numbers Affected ('000s),Upper Uncertainty Bound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AGO,Angola,,Overweight,Numbers Affected ('000s),Point Estimate,94.7,103.0,110.6,117.0,121.9,125.3,127.7,129.0,129.9,131.1,133.0,136.1,139.6,143.8,149.0,155.2,162.5,170.8,180.2,190.6,201.9
AGO,Angola,,Overweight,Numbers Affected ('000s),Lower Uncertainty Bound,63.4,68.7,73.6,77.8,81.0,83.4,85.2,86.2,87.1,88.2,89.7,92.0,94.4,97.1,100.3,103.7,107.5,111.6,115.8,120.3,124.6
AGO,Angola,,Overweight,Numbers Affected ('000s),Upper Uncertainty Bound,140.8,153.6,165.2,174.9,182.3,187.1,190.3,191.8,192.8,193.9,196.1,200.4,205.6,212.0,220.4,231.0,244.3,260.1,278.4,299.9,324.5
AIA,Anguilla,,Overweight,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AIA,Anguilla,,Overweight,Numbers Affected ('000s),Lower Uncertainty Bound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
