Region,Region1,Latitude,Longitude
Autonomous Region of Muslim Mindanao (ARMM),..ARMM,6.9568,124.2422
Bicol Region (Region V),..Region V,13.421,123.4137
CALABARZON (Region IV-A),..Region IV-A,14.1008,121.0794
Cagayan Valley (Region II),..Region II,16.9754,121.8107
Caraga (Region XIII),..Caraga,8.8015,125.7407
Central Luzon (Region III),..Region III,15.4828,120.712
Central Visayas (Region VII),..Region VII,9.8169,124.0641
Cordillera Administrative Region (CAR),..Cordillera Autonomous Region (CAR),17.3513,121.1719
Davao Region (Region XI),..Region XI,7.3042,126.0893
Eastern Visayas (Region VIII),..Region VIII,12.2446,125.0388
Ilocos Region (Region I),..Region I,16.0832,120.62
MIMAROPA (Region IV-B),..MIMAROPA,9.8432,118.7365
Metropolitan Manila,..National Capital Region (NCR),14.6091,121.0223
Northern Mindanao (Region X),..Region X,8.0202,124.6857
SOCCSKSARGEN (Region XII),..Region XII,6.2707,124.6857
Western Visayas (Region VI),..Region VI,11.005,122.5373
Zamboanga Peninsula (Region IX),..Region IX,8.1541,123.2588
