ISO code,Country and areas,Note,Indicator,Measure,Estimate,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,Afghanistan,,Stunting,Numbers Affected ('000s),Point Estimate,2275.7,2354.8,2422.7,2484.1,2531.3,2554.4,2580,2579.3,2562.4,2534.7,2507.4,2466.3,2417.3,2363.2,2307.7,2260.4,2203.5,2148.1,2096.6,2045.2,1988.8
AFG,Afghanistan,,Stunting,Numbers Affected ('000s),Lower Uncertainty Bound,2147.3,2224.7,2287.5,2340.4,2377.2,2390.3,2406.9,2401.6,2384.7,2360.7,2339.5,2306.6,2266,2218.3,2165.4,2115.5,2050.4,1982.3,1914.9,1846.1,1772.8
AFG,Afghanistan,,Stunting,Numbers Affected ('000s),Upper Uncertainty Bound,2402.6,2483.4,2556.6,2626.6,2684.3,2717.6,2752.5,2756.8,2740.4,2709.5,2676.6,2627.5,2570.5,2510.2,2452.3,2408.2,2360.2,2318.8,2285,2253,2216.2
ALB,Albania,,Stunting,Numbers Affected ('000s),Point Estimate,83,80.4,76.6,71.9,66.3,60.4,54.4,48.5,43.3,38.8,35.2,32.3,29.9,28,26.2,24.5,23.5,21.9,19.7,17.6,15.9
ALB,Albania,,Stunting,Numbers Affected ('000s),Lower Uncertainty Bound,77.2,75,71.5,67,61.6,55.8,50,44.5,39.6,35.5,32.2,29.5,27.3,25.4,23.7,21.9,20.8,19.1,16.9,14.9,13.2
ALB,Albania,,Stunting,Numbers Affected ('000s),Upper Uncertainty Bound,89.1,86.1,81.9,77,71.3,65.2,58.9,52.8,47.2,42.4,38.5,35.2,32.7,30.7,28.9,27.3,26.5,25,22.9,20.8,19.1
DZA,Algeria,,Stunting,Numbers Affected ('000s),Point Estimate,680.7,628.1,589.5,562.5,544.6,531.1,523.4,521.8,524,527.5,529.3,540.4,540.2,532.9,523.8,516.6,505.8,494.7,488.6,479.5,466.8
DZA,Algeria,,Stunting,Numbers Affected ('000s),Lower Uncertainty Bound,632,584.3,548.5,522.3,503.7,488.7,479.2,476.1,477.2,480.3,482.5,493.4,493.7,487.1,477.9,469.2,456.2,442.1,431.8,418.7,402.5
DZA,Algeria,,Stunting,Numbers Affected ('000s),Upper Uncertainty Bound,732.2,674.3,632.8,605,588,576.3,570.7,571.1,574.4,578.4,580,591.3,590.3,582.4,573.5,568.1,560,552.8,551.9,548,540.1
AND,Andorra,,Stunting,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AND,Andorra,,Stunting,Numbers Affected ('000s),Lower Uncertainty Bound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AND,Andorra,,Stunting,Numbers Affected ('000s),Upper Uncertainty Bound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AGO,Angola,,Stunting,Numbers Affected ('000s),Point Estimate,1474.5,1440.5,1401.4,1364.1,1333.5,1315.7,1313.6,1322.4,1342.7,1379.5,1426.5,1488.4,1554.8,1626.2,1700.3,1784.4,1872.8,1960.6,2043.2,2119.6,2186.7
AGO,Angola,,Stunting,Numbers Affected ('000s),Lower Uncertainty Bound,1365.2,1329.4,1288.3,1248.9,1215.8,1195.3,1190.9,1198.9,1219.6,1257.4,1305.2,1365.8,1427.9,1490.2,1549.3,1612,1673.5,1730.3,1779.3,1820.6,1852.4
AGO,Angola,,Stunting,Numbers Affected ('000s),Upper Uncertainty Bound,1584.5,1553.2,1516.8,1482.8,1455.6,1441.2,1442.1,1452.1,1471.9,1507.6,1553.6,1616.7,1687.4,1768.2,1858.2,1965.1,2082.2,2203.3,2322.1,2436.6,2542.4
AIA,Anguilla,,Stunting,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AIA,Anguilla,,Stunting,Numbers Affected ('000s),Lower Uncertainty Bound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AIA,Anguilla,,Stunting,Numbers Affected ('000s),Upper Uncertainty Bound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ATG,Antigua and Barbuda,,Stunting,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ATG,Antigua and Barbuda,,Stunting,Numbers Affected ('000s),Lower Uncertainty Bound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ATG,Antigua and Barbuda,,Stunting,Numbers Affected ('000s),Upper Uncertainty Bound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARG,Argentina,,Stunting,Numbers Affected ('000s),Point Estimate,368.2,358.3,348.9,341.7,334.2,320.3,311.3,305.5,299.6,293.5,289.8,285.4,284.7,286.8,289.8,288.9,290,288.9,288.4,288.8,289.8
ARG,Argentina,,Stunting,Numbers Affected ('000s),Lower Uncertainty Bound,328.1,318.1,308.3,300.1,291.4,277.4,268,262.2,257,252.3,249.9,247.3,247.9,250.9,254.3,253.8,254.4,252.2,250.1,248.1,246.4
ARG,Argentina,,Stunting,Numbers Affected ('000s),Upper Uncertainty Bound,412.6,402.8,394.2,388.4,382.5,369.1,360.7,355.1,348.5,340.9,335.4,328.9,326.4,327.3,329.8,328.4,330.1,330.3,332.1,335.5,340
ARM,Armenia,,Stunting,Numbers Affected ('000s),Point Estimate,34.8,34.2,34.4,35.1,35.8,36,36.8,35.9,34.3,32.7,31.5,30.3,29.2,28.1,26.9,25.7,23.9,22.5,21.2,19.9,18.7
ARM,Armenia,,Stunting,Numbers Affected ('000s),Lower Uncertainty Bound,31.8,31.5,31.7,32.3,32.8,32.9,33.5,32.6,31.2,29.7,28.6,27.6,26.6,25.4,24.2,22.8,20.9,19.4,17.8,16.4,15.2
ARM,Armenia,,Stunting,Numbers Affected ('000s),Upper Uncertainty Bound,37.9,37.1,37.3,38,39,39.3,40.3,39.5,37.8,36,34.5,33.2,32.1,30.9,29.9,28.8,27.3,26.1,25,23.9,22.9
AUS,Australia,,Stunting,Numbers Affected ('000s),Point Estimate,16.4,16.9,17.5,18.3,19.3,20.6,22.1,24,25.8,27.5,29,30.6,31.7,32.1,32.5,33,33.2,33.7,34.3,34.8,35.3
AUS,Australia,,Stunting,Numbers Affected ('000s),Lower Uncertainty Bound,13.8,14.2,14.6,15.2,15.9,16.9,18,19.3,20.6,21.7,22.5,23.4,23.7,23.4,23,22.6,21.9,21.5,21.1,20.7,20.3
AUS,Australia,,Stunting,Numbers Affected ('000s),Upper Uncertainty Bound,19.4,20,20.9,22,23.4,25.1,27.2,29.7,32.3,34.8,37.1,39.9,42.3,44,45.9,48,50,52.5,55.3,58.1,60.8
AUT,Austria,,Stunting,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUT,Austria,,Stunting,Numbers Affected ('000s),Lower Uncertainty Bound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
